SensorID,Timestamp,Temperature,Humidity,Region
SEN-158,2026-06-02T21:08:44.385592,30.0,48.62,Site_South
SEN-131,2026-06-02T21:08:45.385592,28.43,45.96,Site_North
SEN-156,2026-06-02T21:08:46.385592,27.93,64.22,Site_South
SEN-121,2026-06-02T21:08:47.385592,23.66,64.35,Site_North
SEN-197,2026-06-02T21:08:48.385592,23.56,47.53,Site_North
SEN-189,2026-06-02T21:08:49.385592,21.56,41.7,Site_North
SEN-188,2026-06-02T21:08:50.385592,22.64,72.26,Site_Central
SEN-130,2026-06-02T21:08:51.385592,21.67,74.15,Site_North
SEN-116,2026-06-02T21:08:52.385592,22.62,70.31,Site_North
SEN-178,2026-06-02T21:08:53.385592,24.87,72.72,Site_North
SEN-107,2026-06-02T21:08:54.385592,27.81,78.11,Site_Central
SEN-171,2026-06-02T21:08:55.385592,27.76,78.13,Site_Central
SEN-140,2026-06-02T21:08:56.385592,30.29,48.29,Site_North
SEN-179,2026-06-02T21:08:57.385592,23.96,69.24,Site_North
SEN-115,2026-06-02T21:08:58.385592,30.67,57.83,Site_South
SEN-143,2026-06-02T21:08:59.385592,20.02,43.55,Site_South
SEN-198,2026-06-02T21:09:00.385592,29.71,58.34,Site_South
SEN-100,2026-06-02T21:09:01.385592,28.08,55.62,Site_South
SEN-138,2026-06-02T21:09:02.385592,34.27,54.07,Site_South
SEN-155,2026-06-02T21:09:03.385592,24.44,61.18,Site_North
SEN-168,2026-06-02T21:09:04.385592,23.38,64.73,Site_South
SEN-173,2026-06-02T21:09:05.385592,32.49,61.26,Site_South
SEN-194,2026-06-02T21:09:06.385592,23.0,55.53,Site_South
SEN-194,2026-06-02T21:09:07.385592,30.14,42.97,Site_Central
SEN-189,2026-06-02T21:09:08.385592,33.07,52.44,Site_South
SEN-171,2026-06-02T21:09:09.385592,33.57,55.52,Site_South
SEN-135,2026-06-02T21:09:10.385592,31.54,40.6,Site_South
SEN-164,2026-06-02T21:09:11.385592,26.57,58.89,Site_South
SEN-106,2026-06-02T21:09:12.385592,32.83,75.16,Site_Central
SEN-118,2026-06-02T21:09:13.385592,21.13,74.74,Site_South
SEN-133,2026-06-02T21:09:14.385592,22.31,74.36,Site_Central
SEN-150,2026-06-02T21:09:15.385592,22.85,53.57,Site_South
SEN-118,2026-06-02T21:09:16.385592,24.96,70.62,Site_Central
SEN-181,2026-06-02T21:09:17.385592,34.45,63.12,Site_South
SEN-101,2026-06-02T21:09:18.385592,24.63,67.76,Site_Central
SEN-156,2026-06-02T21:09:19.385592,28.06,48.37,Site_North
SEN-170,2026-06-02T21:09:20.385592,30.37,54.97,Site_North
SEN-118,2026-06-02T21:09:21.385592,25.57,75.0,Site_North
SEN-125,2026-06-02T21:09:22.385592,30.07,44.15,Site_South
SEN-175,2026-06-02T21:09:23.385592,25.32,49.97,Site_South
SEN-199,2026-06-02T21:09:24.385592,23.0,42.13,Site_South
SEN-158,2026-06-02T21:09:25.385592,33.9,45.42,Site_South
SEN-123,2026-06-02T21:09:26.385592,25.17,63.24,Site_Central
SEN-149,2026-06-02T21:09:27.385592,34.61,70.47,Site_Central
SEN-109,2026-06-02T21:09:28.385592,20.47,69.99,Site_Central
SEN-104,2026-06-02T21:09:29.385592,26.47,42.78,Site_North
SEN-182,2026-06-02T21:09:30.385592,34.23,74.96,Site_South
SEN-169,2026-06-02T21:09:31.385592,22.47,79.96,Site_North
SEN-111,2026-06-02T21:09:32.385592,32.69,45.4,Site_South
SEN-180,2026-06-02T21:09:33.385592,31.65,74.16,Site_North
SEN-173,2026-06-02T21:09:34.385592,20.77,62.3,Site_South
SEN-144,2026-06-02T21:09:35.385592,33.13,78.63,Site_Central
SEN-128,2026-06-02T21:09:36.385592,25.31,72.99,Site_North
SEN-159,2026-06-02T21:09:37.385592,22.0,59.17,Site_Central
SEN-104,2026-06-02T21:09:38.385592,31.5,54.81,Site_North
SEN-113,2026-06-02T21:09:39.385592,33.99,48.3,Site_Central
SEN-177,2026-06-02T21:09:40.385592,31.16,66.81,Site_South
SEN-158,2026-06-02T21:09:41.385592,28.81,44.82,Site_Central
SEN-185,2026-06-02T21:09:42.385592,30.67,46.67,Site_South
SEN-106,2026-06-02T21:09:43.385592,32.24,54.02,Site_North
SEN-105,2026-06-02T21:09:44.385592,31.68,67.19,Site_Central
SEN-168,2026-06-02T21:09:45.385592,20.31,70.11,Site_Central
SEN-112,2026-06-02T21:09:46.385592,28.23,40.57,Site_North
SEN-183,2026-06-02T21:09:47.385592,32.23,40.6,Site_North
SEN-107,2026-06-02T21:09:48.385592,26.01,64.62,Site_Central
SEN-136,2026-06-02T21:09:49.385592,22.65,78.2,Site_Central
SEN-184,2026-06-02T21:09:50.385592,35.0,61.13,Site_Central
SEN-152,2026-06-02T21:09:51.385592,23.22,74.25,Site_South
SEN-127,2026-06-02T21:09:52.385592,25.78,72.9,Site_Central
SEN-140,2026-06-02T21:09:53.385592,33.55,40.72,Site_Central
SEN-187,2026-06-02T21:09:54.385592,29.56,77.46,Site_North
SEN-173,2026-06-02T21:09:55.385592,33.95,41.99,Site_South
SEN-110,2026-06-02T21:09:56.385592,34.44,50.46,Site_Central
SEN-133,2026-06-02T21:09:57.385592,34.75,66.8,Site_South
SEN-164,2026-06-02T21:09:58.385592,27.43,79.83,Site_Central
SEN-164,2026-06-02T21:09:59.385592,24.48,62.23,Site_Central
SEN-139,2026-06-02T21:10:00.385592,27.45,50.01,Site_South
SEN-189,2026-06-02T21:10:01.385592,26.81,44.55,Site_North
SEN-147,2026-06-02T21:10:02.385592,22.31,71.56,Site_North
SEN-189,2026-06-02T21:10:03.385592,29.98,62.73,Site_North
SEN-198,2026-06-02T21:10:04.385592,33.47,65.34,Site_South
SEN-143,2026-06-02T21:10:05.385592,34.0,76.87,Site_South
SEN-188,2026-06-02T21:10:06.385592,27.99,61.38,Site_South
SEN-135,2026-06-02T21:10:07.385592,33.99,51.29,Site_South
SEN-151,2026-06-02T21:10:08.385592,31.29,46.46,Site_North
SEN-168,2026-06-02T21:10:09.385592,24.01,47.58,Site_North
SEN-184,2026-06-02T21:10:10.385592,20.13,51.22,Site_South
SEN-196,2026-06-02T21:10:11.385592,21.94,46.27,Site_South
SEN-111,2026-06-02T21:10:12.385592,22.79,49.08,Site_North
SEN-145,2026-06-02T21:10:13.385592,20.65,76.37,Site_Central
SEN-112,2026-06-02T21:10:14.385592,20.6,49.85,Site_Central
SEN-192,2026-06-02T21:10:15.385592,33.11,77.28,Site_Central
SEN-141,2026-06-02T21:10:16.385592,20.85,44.43,Site_North
SEN-131,2026-06-02T21:10:17.385592,26.0,59.62,Site_North
SEN-162,2026-06-02T21:10:18.385592,29.18,62.76,Site_Central
SEN-132,2026-06-02T21:10:19.385592,31.18,69.95,Site_North
SEN-177,2026-06-02T21:10:20.385592,22.52,50.54,Site_North
SEN-177,2026-06-02T21:10:21.385592,20.14,54.11,Site_South
SEN-112,2026-06-02T21:10:22.385592,20.79,68.73,Site_South
SEN-158,2026-06-02T21:10:23.385592,27.19,69.43,Site_Central
SEN-136,2026-06-02T21:10:24.385592,32.61,61.91,Site_South
SEN-107,2026-06-02T21:10:25.385592,25.17,47.1,Site_Central
SEN-158,2026-06-02T21:10:26.385592,25.1,61.42,Site_Central
SEN-149,2026-06-02T21:10:27.385592,28.04,49.81,Site_North
SEN-167,2026-06-02T21:10:28.385592,25.77,61.46,Site_South
SEN-130,2026-06-02T21:10:29.385592,20.26,60.44,Site_Central
SEN-138,2026-06-02T21:10:30.385592,28.82,76.76,Site_South
SEN-123,2026-06-02T21:10:31.385592,25.98,70.49,Site_South
SEN-190,2026-06-02T21:10:32.385592,33.63,49.59,Site_Central
SEN-182,2026-06-02T21:10:33.385592,34.33,58.57,Site_North
SEN-180,2026-06-02T21:10:34.385592,29.17,50.05,Site_Central
SEN-113,2026-06-02T21:10:35.385592,31.92,54.2,Site_Central
SEN-194,2026-06-02T21:10:36.385592,28.88,56.72,Site_Central
SEN-159,2026-06-02T21:10:37.385592,27.61,54.71,Site_Central
SEN-195,2026-06-02T21:10:38.385592,32.38,70.77,Site_South
SEN-183,2026-06-02T21:10:39.385592,32.87,47.68,Site_North
SEN-171,2026-06-02T21:10:40.385592,20.6,58.45,Site_Central
SEN-145,2026-06-02T21:10:41.385592,25.53,58.35,Site_Central
SEN-103,2026-06-02T21:10:42.385592,23.35,63.14,Site_Central
SEN-124,2026-06-02T21:10:43.385592,27.64,78.03,Site_Central
SEN-159,2026-06-02T21:10:44.385592,34.51,79.3,Site_South
SEN-147,2026-06-02T21:10:45.385592,30.87,59.89,Site_North
SEN-180,2026-06-02T21:10:46.385592,31.01,42.39,Site_South
SEN-191,2026-06-02T21:10:47.385592,32.39,64.84,Site_Central
SEN-115,2026-06-02T21:10:48.385592,33.61,47.46,Site_South
SEN-127,2026-06-02T21:10:49.385592,34.16,62.41,Site_South
SEN-138,2026-06-02T21:10:50.385592,25.48,65.57,Site_South
SEN-189,2026-06-02T21:10:51.385592,23.5,55.75,Site_Central
SEN-106,2026-06-02T21:10:52.385592,33.58,76.03,Site_Central
SEN-138,2026-06-02T21:10:53.385592,26.41,78.03,Site_North
SEN-102,2026-06-02T21:10:54.385592,33.84,48.78,Site_South
SEN-121,2026-06-02T21:10:55.385592,20.06,41.77,Site_South
SEN-198,2026-06-02T21:10:56.385592,28.04,79.27,Site_North
SEN-115,2026-06-02T21:10:57.385592,34.25,43.63,Site_North
SEN-118,2026-06-02T21:10:58.385592,26.98,66.92,Site_Central
SEN-113,2026-06-02T21:10:59.385592,34.37,68.37,Site_South
SEN-134,2026-06-02T21:11:00.385592,26.83,59.06,Site_South
SEN-192,2026-06-02T21:11:01.385592,28.39,73.63,Site_South
SEN-119,2026-06-02T21:11:02.385592,20.38,59.02,Site_North
SEN-131,2026-06-02T21:11:03.385592,31.05,65.11,Site_North
SEN-101,2026-06-02T21:11:04.385592,24.25,55.63,Site_Central
SEN-109,2026-06-02T21:11:05.385592,29.0,77.99,Site_South
SEN-173,2026-06-02T21:11:06.385592,28.81,48.38,Site_Central
SEN-154,2026-06-02T21:11:07.385592,33.92,44.62,Site_Central
SEN-133,2026-06-02T21:11:08.385592,33.24,64.46,Site_North
SEN-153,2026-06-02T21:11:09.385592,28.18,79.27,Site_South
SEN-106,2026-06-02T21:11:10.385592,31.4,40.23,Site_North
SEN-148,2026-06-02T21:11:11.385592,26.31,41.68,Site_North
SEN-194,2026-06-02T21:11:12.385592,30.72,54.43,Site_North
SEN-125,2026-06-02T21:11:13.385592,25.57,51.56,Site_South
SEN-144,2026-06-02T21:11:14.385592,34.63,62.69,Site_Central
SEN-149,2026-06-02T21:11:15.385592,24.09,42.86,Site_Central
SEN-161,2026-06-02T21:11:16.385592,28.41,67.81,Site_South
SEN-177,2026-06-02T21:11:17.385592,28.94,61.32,Site_North
SEN-191,2026-06-02T21:11:18.385592,21.91,53.38,Site_Central
SEN-132,2026-06-02T21:11:19.385592,27.39,41.75,Site_North
SEN-140,2026-06-02T21:11:20.385592,23.71,48.78,Site_Central
SEN-159,2026-06-02T21:11:21.385592,25.04,67.35,Site_North
SEN-167,2026-06-02T21:11:22.385592,27.45,73.57,Site_North
SEN-130,2026-06-02T21:11:23.385592,23.28,47.08,Site_South
SEN-195,2026-06-02T21:11:24.385592,33.58,70.87,Site_South
SEN-151,2026-06-02T21:11:25.385592,29.05,69.76,Site_South
SEN-157,2026-06-02T21:11:26.385592,24.38,74.92,Site_South
SEN-172,2026-06-02T21:11:27.385592,27.25,46.01,Site_South
SEN-199,2026-06-02T21:11:28.385592,26.8,67.72,Site_South
SEN-166,2026-06-02T21:11:29.385592,21.9,64.19,Site_North
SEN-178,2026-06-02T21:11:30.385592,34.29,44.75,Site_Central
SEN-144,2026-06-02T21:11:31.385592,33.34,77.59,Site_North
SEN-160,2026-06-02T21:11:32.385592,20.79,49.29,Site_Central
SEN-119,2026-06-02T21:11:33.385592,29.67,58.79,Site_South
SEN-106,2026-06-02T21:11:34.385592,33.28,55.72,Site_Central
SEN-114,2026-06-02T21:11:35.385592,29.66,49.04,Site_North
SEN-108,2026-06-02T21:11:36.385592,30.27,47.85,Site_South
SEN-119,2026-06-02T21:11:37.385592,24.11,73.41,Site_South
SEN-151,2026-06-02T21:11:38.385592,28.45,51.43,Site_North
SEN-135,2026-06-02T21:11:39.385592,20.92,74.2,Site_Central
SEN-111,2026-06-02T21:11:40.385592,31.47,52.29,Site_North
SEN-199,2026-06-02T21:11:41.385592,31.12,77.0,Site_North
SEN-167,2026-06-02T21:11:42.385592,30.38,79.78,Site_Central
SEN-132,2026-06-02T21:11:43.385592,24.07,62.41,Site_North
SEN-183,2026-06-02T21:11:44.385592,21.53,58.65,Site_South
SEN-167,2026-06-02T21:11:45.385592,20.31,71.24,Site_Central
SEN-119,2026-06-02T21:11:46.385592,29.04,50.72,Site_South
SEN-142,2026-06-02T21:11:47.385592,32.78,71.8,Site_Central
SEN-152,2026-06-02T21:11:48.385592,32.1,73.32,Site_South
SEN-106,2026-06-02T21:11:49.385592,29.21,69.44,Site_Central
SEN-125,2026-06-02T21:11:50.385592,29.22,40.6,Site_South
SEN-157,2026-06-02T21:11:51.385592,31.75,45.43,Site_North
SEN-178,2026-06-02T21:11:52.385592,20.59,75.92,Site_North
SEN-120,2026-06-02T21:11:53.385592,25.29,62.31,Site_Central
SEN-120,2026-06-02T21:11:54.385592,21.01,42.61,Site_Central
SEN-150,2026-06-02T21:11:55.385592,26.58,47.12,Site_Central
SEN-142,2026-06-02T21:11:56.385592,29.16,73.65,Site_South
SEN-121,2026-06-02T21:11:57.385592,26.4,65.87,Site_North
SEN-134,2026-06-02T21:11:58.385592,31.4,79.9,Site_Central
SEN-171,2026-06-02T21:11:59.385592,21.31,50.18,Site_Central
SEN-170,2026-06-02T21:12:00.385592,22.31,44.25,Site_South
SEN-140,2026-06-02T21:12:01.385592,27.69,67.96,Site_Central
SEN-132,2026-06-02T21:12:02.385592,31.37,53.17,Site_Central
SEN-191,2026-06-02T21:12:03.385592,31.4,53.75,Site_North
SEN-174,2026-06-02T21:12:04.385592,28.09,57.01,Site_Central
SEN-181,2026-06-02T21:12:05.385592,20.94,55.68,Site_North
SEN-168,2026-06-02T21:12:06.385592,24.81,72.28,Site_South
SEN-154,2026-06-02T21:12:07.385592,25.21,75.61,Site_North
SEN-153,2026-06-02T21:12:08.385592,23.52,72.56,Site_Central
SEN-165,2026-06-02T21:12:09.385592,25.26,63.96,Site_South
SEN-162,2026-06-02T21:12:10.385592,23.04,74.62,Site_South
SEN-111,2026-06-02T21:12:11.385592,27.12,70.91,Site_Central
SEN-137,2026-06-02T21:12:12.385592,30.28,42.71,Site_North
SEN-195,2026-06-02T21:12:13.385592,29.79,49.81,Site_South
SEN-110,2026-06-02T21:12:14.385592,26.74,61.94,Site_North
SEN-124,2026-06-02T21:12:15.385592,25.03,69.3,Site_North
SEN-101,2026-06-02T21:12:16.385592,26.83,44.35,Site_Central
SEN-144,2026-06-02T21:12:17.385592,29.12,62.35,Site_Central
SEN-138,2026-06-02T21:12:18.385592,29.01,67.15,Site_North
SEN-167,2026-06-02T21:12:19.385592,30.94,41.6,Site_North
SEN-145,2026-06-02T21:12:20.385592,28.63,72.98,Site_South
SEN-119,2026-06-02T21:12:21.385592,33.14,57.2,Site_Central
SEN-138,2026-06-02T21:12:22.385592,20.48,65.79,Site_North
SEN-133,2026-06-02T21:12:23.385592,30.42,46.07,Site_Central
SEN-169,2026-06-02T21:12:24.385592,29.57,61.67,Site_Central
SEN-135,2026-06-02T21:12:25.385592,29.94,65.94,Site_North
SEN-136,2026-06-02T21:12:26.385592,22.14,64.8,Site_North
SEN-146,2026-06-02T21:12:27.385592,27.67,75.1,Site_South
SEN-192,2026-06-02T21:12:28.385592,27.2,51.22,Site_Central
SEN-140,2026-06-02T21:12:29.385592,29.09,69.81,Site_Central
SEN-184,2026-06-02T21:12:30.385592,20.4,50.72,Site_South
SEN-155,2026-06-02T21:12:31.385592,34.65,67.0,Site_North
SEN-135,2026-06-02T21:12:32.385592,25.67,62.75,Site_South
SEN-105,2026-06-02T21:12:33.385592,32.57,74.48,Site_North
SEN-158,2026-06-02T21:12:34.385592,33.33,77.78,Site_North
SEN-183,2026-06-02T21:12:35.385592,21.04,75.66,Site_Central
SEN-187,2026-06-02T21:12:36.385592,25.39,74.63,Site_North
SEN-186,2026-06-02T21:12:37.385592,28.54,55.8,Site_North
SEN-137,2026-06-02T21:12:38.385592,27.29,65.37,Site_North
SEN-173,2026-06-02T21:12:39.385592,29.04,73.39,Site_Central
SEN-170,2026-06-02T21:12:40.385592,29.99,77.13,Site_North
SEN-169,2026-06-02T21:12:41.385592,20.23,75.92,Site_South
SEN-119,2026-06-02T21:12:42.385592,22.27,66.13,Site_North
SEN-158,2026-06-02T21:12:43.385592,26.95,71.1,Site_Central
SEN-150,2026-06-02T21:12:44.385592,32.56,50.44,Site_South
SEN-181,2026-06-02T21:12:45.385592,21.79,43.57,Site_North
SEN-144,2026-06-02T21:12:46.385592,25.6,51.75,Site_North
SEN-117,2026-06-02T21:12:47.385592,32.21,76.09,Site_North
SEN-175,2026-06-02T21:12:48.385592,29.05,44.62,Site_Central
SEN-130,2026-06-02T21:12:49.385592,23.85,55.11,Site_Central
SEN-169,2026-06-02T21:12:50.385592,33.69,72.06,Site_North
SEN-172,2026-06-02T21:12:51.385592,23.1,72.32,Site_South
SEN-182,2026-06-02T21:12:52.385592,34.04,59.63,Site_South
SEN-100,2026-06-02T21:12:53.385592,31.04,70.96,Site_Central
SEN-183,2026-06-02T21:12:54.385592,25.9,66.83,Site_North
SEN-165,2026-06-02T21:12:55.385592,32.19,41.86,Site_North
SEN-133,2026-06-02T21:12:56.385592,27.89,63.55,Site_South
SEN-183,2026-06-02T21:12:57.385592,23.35,58.27,Site_North
SEN-131,2026-06-02T21:12:58.385592,24.44,59.97,Site_North
SEN-107,2026-06-02T21:12:59.385592,28.63,76.5,Site_Central
SEN-100,2026-06-02T21:13:00.385592,33.5,48.16,Site_North
SEN-175,2026-06-02T21:13:01.385592,24.6,71.73,Site_North
SEN-169,2026-06-02T21:13:02.385592,20.06,60.19,Site_South
SEN-187,2026-06-02T21:13:03.385592,22.92,54.01,Site_South
SEN-154,2026-06-02T21:13:04.385592,24.68,44.34,Site_North
SEN-195,2026-06-02T21:13:05.385592,20.95,62.39,Site_North
SEN-120,2026-06-02T21:13:06.385592,25.68,77.61,Site_Central
SEN-113,2026-06-02T21:13:07.385592,22.33,58.36,Site_South
SEN-124,2026-06-02T21:13:08.385592,31.91,53.64,Site_North
SEN-124,2026-06-02T21:13:09.385592,30.31,60.88,Site_North
SEN-104,2026-06-02T21:13:10.385592,23.73,71.68,Site_Central
SEN-121,2026-06-02T21:13:11.385592,23.82,58.76,Site_Central
SEN-162,2026-06-02T21:13:12.385592,23.23,45.93,Site_South
SEN-149,2026-06-02T21:13:13.385592,27.45,70.24,Site_North
SEN-135,2026-06-02T21:13:14.385592,20.73,42.45,Site_South
SEN-128,2026-06-02T21:13:15.385592,20.88,72.91,Site_South
SEN-110,2026-06-02T21:13:16.385592,30.17,48.24,Site_North
SEN-168,2026-06-02T21:13:17.385592,34.04,59.22,Site_North
SEN-197,2026-06-02T21:13:18.385592,22.78,74.13,Site_North
SEN-128,2026-06-02T21:13:19.385592,22.63,42.27,Site_North
SEN-164,2026-06-02T21:13:20.385592,28.85,44.81,Site_Central
SEN-176,2026-06-02T21:13:21.385592,30.24,75.74,Site_South
SEN-129,2026-06-02T21:13:22.385592,22.11,50.25,Site_Central
SEN-145,2026-06-02T21:13:23.385592,29.92,64.11,Site_South
SEN-189,2026-06-02T21:13:24.385592,30.54,69.39,Site_South
SEN-152,2026-06-02T21:13:25.385592,26.27,66.84,Site_North
SEN-141,2026-06-02T21:13:26.385592,21.53,56.36,Site_North
SEN-186,2026-06-02T21:13:27.385592,27.43,61.17,Site_South
SEN-175,2026-06-02T21:13:28.385592,27.78,61.51,Site_North
SEN-165,2026-06-02T21:13:29.385592,28.33,65.1,Site_North
SEN-191,2026-06-02T21:13:30.385592,26.38,69.94,Site_Central
SEN-193,2026-06-02T21:13:31.385592,21.76,65.51,Site_Central
SEN-155,2026-06-02T21:13:32.385592,21.46,56.54,Site_South
SEN-158,2026-06-02T21:13:33.385592,24.24,57.73,Site_Central
SEN-156,2026-06-02T21:13:34.385592,33.35,57.51,Site_Central
SEN-109,2026-06-02T21:13:35.385592,34.58,48.39,Site_North
SEN-195,2026-06-02T21:13:36.385592,30.11,78.63,Site_Central
SEN-138,2026-06-02T21:13:37.385592,22.31,57.55,Site_North
SEN-127,2026-06-02T21:13:38.385592,31.5,45.36,Site_North
SEN-139,2026-06-02T21:13:39.385592,29.8,66.96,Site_North
SEN-145,2026-06-02T21:13:40.385592,31.28,57.72,Site_South
SEN-116,2026-06-02T21:13:41.385592,30.25,75.68,Site_South
SEN-187,2026-06-02T21:13:42.385592,27.26,48.76,Site_North
SEN-185,2026-06-02T21:13:43.385592,23.63,76.17,Site_South
SEN-153,2026-06-02T21:13:44.385592,33.94,57.35,Site_Central
SEN-113,2026-06-02T21:13:45.385592,28.49,66.34,Site_Central
SEN-162,2026-06-02T21:13:46.385592,31.49,63.54,Site_Central
SEN-191,2026-06-02T21:13:47.385592,31.95,40.21,Site_South
SEN-111,2026-06-02T21:13:48.385592,24.73,65.64,Site_North
SEN-177,2026-06-02T21:13:49.385592,34.62,40.22,Site_South
SEN-118,2026-06-02T21:13:50.385592,34.33,54.49,Site_South
SEN-158,2026-06-02T21:13:51.385592,30.06,60.48,Site_South
SEN-155,2026-06-02T21:13:52.385592,29.03,67.51,Site_North
SEN-118,2026-06-02T21:13:53.385592,20.09,54.04,Site_Central
SEN-197,2026-06-02T21:13:54.385592,27.0,67.46,Site_Central
SEN-181,2026-06-02T21:13:55.385592,24.5,46.49,Site_North
SEN-123,2026-06-02T21:13:56.385592,31.66,78.87,Site_Central
SEN-103,2026-06-02T21:13:57.385592,20.52,45.01,Site_North
SEN-184,2026-06-02T21:13:58.385592,26.06,48.18,Site_North
SEN-180,2026-06-02T21:13:59.385592,25.31,65.42,Site_South
SEN-165,2026-06-02T21:14:00.385592,29.82,68.97,Site_South
SEN-179,2026-06-02T21:14:01.385592,32.14,57.79,Site_North
SEN-166,2026-06-02T21:14:02.385592,34.77,61.0,Site_South
SEN-165,2026-06-02T21:14:03.385592,30.89,45.24,Site_South
SEN-183,2026-06-02T21:14:04.385592,27.93,67.64,Site_North
SEN-187,2026-06-02T21:14:05.385592,26.3,61.21,Site_North
SEN-162,2026-06-02T21:14:06.385592,34.08,49.62,Site_Central
SEN-144,2026-06-02T21:14:07.385592,22.99,79.6,Site_South
SEN-173,2026-06-02T21:14:08.385592,28.41,53.84,Site_South
SEN-121,2026-06-02T21:14:09.385592,34.08,66.34,Site_South
SEN-108,2026-06-02T21:14:10.385592,23.24,59.88,Site_Central
SEN-113,2026-06-02T21:14:11.385592,31.42,54.6,Site_Central
SEN-122,2026-06-02T21:14:12.385592,29.6,50.53,Site_North
SEN-134,2026-06-02T21:14:13.385592,25.75,53.33,Site_Central
SEN-130,2026-06-02T21:14:14.385592,32.06,68.69,Site_North
SEN-171,2026-06-02T21:14:15.385592,23.59,44.43,Site_Central
SEN-162,2026-06-02T21:14:16.385592,26.24,53.67,Site_Central
SEN-157,2026-06-02T21:14:17.385592,20.99,59.5,Site_North
SEN-177,2026-06-02T21:14:18.385592,34.03,65.89,Site_Central
SEN-167,2026-06-02T21:14:19.385592,22.03,49.88,Site_North
SEN-193,2026-06-02T21:14:20.385592,34.58,73.35,Site_South
SEN-159,2026-06-02T21:14:21.385592,30.87,73.3,Site_South
SEN-142,2026-06-02T21:14:22.385592,30.91,47.04,Site_Central
SEN-145,2026-06-02T21:14:23.385592,33.4,50.84,Site_North
SEN-162,2026-06-02T21:14:24.385592,22.76,50.4,Site_North
SEN-178,2026-06-02T21:14:25.385592,28.04,48.15,Site_Central
SEN-140,2026-06-02T21:14:26.385592,33.4,74.05,Site_South
SEN-143,2026-06-02T21:14:27.385592,20.5,40.4,Site_North
SEN-128,2026-06-02T21:14:28.385592,31.05,45.59,Site_South
SEN-162,2026-06-02T21:14:29.385592,26.04,51.63,Site_North
SEN-191,2026-06-02T21:14:30.385592,27.05,45.4,Site_North
SEN-151,2026-06-02T21:14:31.385592,24.99,65.38,Site_Central
SEN-164,2026-06-02T21:14:32.385592,24.1,73.7,Site_South
